name,ttm,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
OperatingCashFlow,"211,418,000","248,493,000","310,978,000","266,838,000","121,804,000","89,274,000","137,311,000","188,923,000","127,139,000","107,961,000","203,424,000","210,755,000","247,074,000","271,408,000","305,574,000","258,694,000","210,669,000","229,956,000","168,153,000","138,843,000","121,675,000","90,847,000","64,528,000","6,738,000","13,056,000"
	CashFlowFromContinuingOperatingActivities,"211,418,000","248,493,000","310,978,000","266,838,000","121,804,000","87,568,000","137,319,000","178,282,000","112,151,000","80,243,000","168,512,000","192,164,000","247,074,000","271,408,000","305,574,000","258,694,000","210,669,000","229,956,000","168,153,000","138,843,000","121,675,000","90,847,000","64,528,000","6,738,000","13,056,000"
		NetIncomeFromContinuingOperations,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-25,414,000","122,360,000","82,485,000","90,626,000","-260,171,000","96,713,000","172,078,000","213,355,000","54,026,000","154,461,000","114,080,000","170,006,000","102,499,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000",
		OperatingGainsLosses,"-22,222,000","-22,980,000","-76,353,000","-50,412,000","-22,116,000","-11,309,000","-24,305,000","-50,747,000","-39,895,000","-69,129,000","-66,108,000","-48,492,000","-42,335,000","-13,575,000","-4,048,000",,"0","33,000","-1,236,000","-3,471,000","318,000","2,067,000","963,000",,
			GainLossOnSaleOfPPE,,,,,,"-581,000","-6,498,000","-2,441,000","-3,545,000","-29,068,000","-6,900,000","-1,386,000","-10,921,000","-13,575,000","-1,058,000","0","0","33,000","-1,236,000",,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,"-9,290,000","-5,690,000","-8,149,000",,"-2,990,000",,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-17,295,000","-18,135,000","-73,397,000","-59,795,000","-21,871,000","-10,728,000","-47,089,000","-48,306,000","-40,457,000","-40,061,000","-49,918,000","-41,416,000","-34,186,000","0","0",,,,,,,,,,
		DepreciationAmortizationDepletion,"14,870,000","15,535,000","18,489,000","22,519,000","19,075,000","9,198,000","14,932,000","21,689,000","23,414,000","28,581,000","57,295,000","58,586,000","64,377,000","58,221,000","65,118,000","56,978,000","60,012,000","64,254,000","51,391,000","29,695,000","33,730,000","30,077,000","24,483,000","4,526,000",
			DepreciationAndAmortization,,,,,,,,,"35,993,000",,,,,,,,,,"51,391,000","29,695,000","33,730,000","30,077,000","24,483,000","4,526,000",
				Depreciation,,,,,,,,,"34,985,000",,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,"0","1,008,000","3,185,000","3,621,000","3,308,000",,,,,,,,,,,,,
		AssetImpairmentCharge,"5,556,000","4,272,000","2,800,000","5,519,000","7,674,000","139,886,000","155,676,000","18,218,000","5,320,000","15,861,000","384,545,000","26,209,000","734,000","2,568,000","161,336,000","0",,,,,,,,,
		StockBasedCompensation,"11,062,000","11,309,000","10,910,000","5,773,000","4,039,000","3,570,000","2,361,000","1,434,000","18,000","1,217,000",,,,,,,,,,,,,,,
		OtherNonCashItems,"-928,000","-1,509,000","1,303,000","2,410,000","2,265,000","1,323,000","3,687,000","7,133,000","18,223,000","12,816,000","-4,400,000","-2,151,000","-8,721,000","605,000","1,623,000","540,000","115,543,000","278,000","443,000","349,000",,,,,
		ChangeInWorkingCapital,"7,885,000","19,441,000","-6,084,000","-32,298,000","-9,305,000","15,509,000","-21,468,000","13,742,000","-20,768,000","-46,279,000","10,556,000","18,294,000","36,828,000","10,234,000","27,519,000","46,715,000","35,114,000","-4,615,000","15,056,000","10,180,000","-4,212,000","-291,000","2,175,000","-4,203,000",
			ChangeInReceivables,"-2,297,000","7,285,000","-164,000","-18,671,000","-14,415,000","12,853,000","-6,035,000","-6,062,000","3,919,000","1,232,000","10,854,000","2,655,000","5,540,000","-802,000","-6,951,000","-2,627,000","581,000","-4,586,000","-5,270,000","-1,426,000","-6,869,000","-4,093,000","-1,947,000","-9,043,000",
				ChangesInAccountReceivables,"-2,297,000","7,285,000","-164,000","-18,671,000","-14,415,000","12,853,000","-6,035,000","-6,062,000","3,919,000","1,232,000","10,854,000","2,655,000","5,540,000","-802,000","-6,951,000","-2,627,000","581,000","-4,586,000","-5,270,000",,,,,,
			ChangeInInventory,,,,,,,,,,,,"748,000",,"0",,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-2,350,000","-2,344,000","-1,739,000","748,000","3,089,000","-2,600,000","-16,919,000","19,000","-8,252,000","2,910,000","-2,237,000","-2,013,000","8,994,000","3,049,000","1,194,000","741,000","8,336,000","-1,634,000","4,051,000","381,000","84,000","-47,000","-674,000","1,402,000",
				ChangeInPayable,"-58,000","25,000","-1,108,000","37,000","570,000","207,000","-1,234,000","1,138,000","-184,000","517,000","-3,657,000","-8,471,000","1,067,000","3,545,000","244,000","1,230,000","-91,000","-1,777,000","1,621,000",,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,"-291,000","-122,000","1,636,000","-610,000","762,000","42,000","-293,000","2,085,000",,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,"-291,000","-122,000","1,636,000","-610,000","762,000","42,000","-293,000","2,085,000",,,,,,
					ChangeInAccountPayable,"-58,000","25,000","-1,108,000","37,000","570,000","207,000","-1,234,000","1,138,000","-184,000","517,000","-3,657,000","-8,471,000","1,067,000","1,909,000","854,000","468,000","-133,000","-1,484,000","-464,000",,,,,,
				ChangeInAccruedExpense,"-2,292,000","-2,369,000","-631,000","711,000","2,519,000","-2,807,000","-15,685,000","-1,119,000","-8,068,000","2,393,000","1,420,000","6,458,000","7,927,000","-496,000","950,000","-489,000","8,427,000","143,000","2,430,000",,,,,,
					ChangeInInterestPayable,"-439,000","-281,000","-406,000","-224,000","-501,000","-602,000","-12,029,000","-1,138,000","-105,000","-1,235,000","-1,236,000","1,032,000","6,919,000","-496,000","950,000","-489,000","3,850,000","143,000","2,430,000",,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,"-795,000","-516,000","-236,000","90,000","-27,000","-67,000","178,000","178,000",,"-47,000","236,000","-811,000","-511,000",
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,"4,515,000","2,504,000","2,620,000","3,613,000","5,607,000","3,949,000",
			ChangeInOtherWorkingCapital,"12,532,000","14,500,000","-4,181,000","-14,375,000","2,021,000","5,256,000","1,486,000","19,785,000","-16,435,000","-50,421,000","1,939,000","17,652,000","22,294,000","8,223,000","33,186,000","48,628,000","26,197,000","1,427,000","16,097,000","8,721,000",,,,,
		DividendReceivedCFO,"27,511,000","38,781,000","81,478,000","44,835,000","11,270,000","14,210,000","31,850,000","44,453,000","43,354,000","46,550,000","46,795,000","43,005,000","24,113,000","0","0",,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,"0","0","1,706,000","-8,000","10,641,000","14,988,000","27,718,000","34,912,000","18,591,000",,,,,,,,,,,,,
InvestingCashFlow,"7,646,000","7,511,000","5,416,000","2,688,000","2,412,000","1,680,000","7,592,000","190,628,000","3,543,000","166,815,000","-30,271,000","-520,503,000","-302,765,000","-212,733,000","-115,088,000","-170,796,000","-119,911,000","-9,828,000","-79,634,000","-257,714,000","-105,702,000","-77,733,000","-142,511,000","-57,449,000","2,685,000"
	CashFlowFromContinuingInvestingActivities,"7,646,000","7,511,000","5,416,000","2,688,000","2,412,000","1,745,000","8,221,000","7,607,000","9,807,000","65,057,000","6,985,000","-169,512,000","-302,765,000","-212,733,000","-115,088,000","-170,796,000","-119,911,000","-9,828,000","-79,634,000","-257,714,000","-105,702,000","-77,733,000","-142,511,000","-57,449,000","2,685,000"
		CapitalExpenditureReported,,"0","-10,000","-118,000","0","0",,,,,,"-356,026,000","-72,000,000","-180,534,000","-120,284,000","-166,382,000","-118,754,000","-5,500,000","-58,124,000",,,,,,
		NetPPEPurchaseAndSale,,,,,"0","0","-22,000","0","0","-28,000","-10,007,000","-6,071,000","-61,071,000","-681,000","-404,000","-5,994,000","-119,911,000","-10,568,000","-16,695,000","-257,714,000","-105,702,000","-77,733,000","-142,511,000","-57,449,000",
			PurchaseOfPPE,,,,,"0","0","-22,000","0","0","-28,000","-10,007,000","-7,489,000","-72,000,000","-681,000","-404,000","-5,994,000","-119,911,000","-10,568,000","-16,695,000","-264,765,000","-105,702,000","-77,733,000","-142,541,000","-57,449,000",
			SaleOfPPE,,,,,,,,,"1,982,000","62,383,000","18,120,000","1,418,000","10,929,000",,,,"0","0","1,425,000","7,051,000",,,"30,000",,
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,,,"-180,534,000",,,,,,,,,,,
			PurchaseOfIntangibles,,,,,,,,,,,,,,"-180,534,000",,,,,,,,,,,
		NetBusinessPurchaseAndSale,,,,"0","0","-1,000,000","0","0",,"0",,"-168,978,000","-293,085,000","0","0",,,,,,,,,,
			PurchaseOfBusiness,,,,"0","0","-1,000,000","0","0",,"0",,"-168,978,000","-293,085,000","0","0",,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,"3,633,000","-293,085,000","-59,009,000",,,,,,,,,,,
			PurchaseOfInvestment,,,,,,,,,,,,"0","-293,085,000","-59,009,000",,,,,,,,,,,
			SaleOfInvestment,,,,,,,,,,,,"3,633,000",,,,,,,,,,,,,
		DividendsReceivedCFI,,,,,,"0","0","2,097,000","5,646,000","0",,"3,633,000","48,833,000","0","0",,,,,,,,,,
		NetOtherInvestingChanges,"7,646,000","7,511,000","5,426,000","2,806,000","2,412,000","2,745,000","8,243,000","5,510,000","4,161,000","65,085,000","16,992,000","5,537,000","51,391,000","-31,518,000","5,600,000","1,580,000","0","6,240,000","-4,815,000","0","0","0","0","0","2,685,000"
	CashFromDiscontinuedInvestingActivities,,,,"0","0","-65,000","-629,000","183,021,000","-6,264,000","101,758,000","-37,256,000","-350,991,000",,,,,,,,,,,,,
FinancingCashFlow,"-199,178,000","-237,549,000","-343,496,000","-365,955,000","-88,486,000","-89,429,000","-252,668,000","-203,348,000","-141,226,000","-286,178,000","-171,456,000","267,311,000","-1,220,000","-124,173,000","-71,070,000","-75,026,000","-98,052,000","-188,541,000","-96,222,000","137,224,000","-10,385,000","4,669,000","94,550,000","58,463,000","-15,434,000"
	CashFlowFromContinuingFinancingActivities,"-199,178,000","-237,549,000","-343,496,000","-365,955,000","-88,486,000","-89,429,000","-252,668,000","-202,529,000","-139,933,000","-199,015,000","-146,539,000","160,014,000","-1,220,000","-124,173,000","-71,070,000","-75,026,000","-98,052,000","-188,541,000","-96,222,000","137,224,000","-10,385,000","4,669,000","94,550,000","58,463,000","-15,434,000"
		NetIssuancePaymentsOfDebt,"-50,139,000","-13,178,000","-13,562,000","-269,396,000","-39,396,000","-46,176,000","-163,082,000","-140,706,000","-311,631,000","-163,141,000","-65,983,000","199,392,000","180,790,000","117,200,000","174,481,000","33,766,000","162,765,000","-17,234,000","49,458,000","229,650,000","65,650,000","-36,350,000","144,500,000","10,969,000",
			NetLongTermDebtIssuance,"-50,139,000","-13,178,000","-13,562,000","-269,396,000","-39,396,000","-46,176,000","-163,082,000","-140,706,000","-311,631,000","-163,141,000","-65,983,000","199,392,000","180,790,000","117,200,000","174,481,000","33,766,000","162,765,000","-17,234,000","49,458,000",,,,,,
				LongTermDebtIssuance,"112,193,000","167,850,000","248,834,000","70,000,000","0","0","300,000,000","35,000,000","180,688,000","20,000,000","100,000,000","518,375,000","567,020,000","148,000,000","385,000,000","140,000,000","331,000,000","0","285,400,000",,,,,,
				LongTermDebtPayments,"-162,332,000","-181,028,000","-262,396,000","-339,396,000","-39,396,000","-46,176,000","-463,082,000","-175,706,000","-492,319,000","-183,141,000","-165,983,000","-318,983,000","-386,230,000","-30,800,000","-210,519,000","-106,234,000","-168,235,000","-17,234,000","-235,942,000",,,,,,
		NetCommonStockIssuance,,,,,,"0","0","-8,844,000","242,100,000","0",,"127,202,000","75,000,000","0","0","110,436,000","0",,,,,"100,234,000",,"46,963,000",
			CommonStockIssuance,,,,,,,"0","0","242,100,000","0",,"127,202,000","75,000,000","0","0","110,436,000","0",,,,,"200,355,000",,"46,963,000",
			CommonStockPayments,,,,,,"0","0","-8,844,000","0","0",,,,,,,,,,,,"-100,121,000",,,
		NetPreferredStockIssuance,"0","-71,666,000","-178,334,000","-19,321,000","0","-3,863,000",,"-8,844,000","242,100,000","0",,,,,,,,,,,,,,,
			PreferredStockIssuance,,,,,,,,"0","242,100,000","0",,,,,,,,,,,,,,,
			PreferredStockPayments,"0","-71,666,000","-178,334,000","-19,321,000","0","-3,863,000",,"-8,844,000","0","0",,,,,,,,,,,,,,,
		CashDividendsPaid,"-60,484,000","-78,544,000","-91,977,000","-64,642,000","-38,216,000","-39,390,000","-63,150,000","-52,751,000","-31,311,000","-22,465,000","-71,758,000","-162,042,000","-246,518,000","-238,021,000","-234,828,000","-209,849,000","-188,135,000","-171,307,000","-147,033,000",,,"-60,393,000",,,
			CommonStockDividendPaid,"-56,236,000","-72,146,000","-69,908,000","-34,384,000","-22,645,000","-16,890,000","-33,150,000","-22,486,000","-22,467,000","-22,465,000","-71,758,000","-162,042,000","-246,518,000","-238,021,000","-234,828,000","-209,849,000","-188,135,000","-171,307,000","-147,033,000",,,,,,
			PreferredStockDividendPaid,"-4,248,000","-6,398,000","-22,069,000","-30,258,000","-15,571,000","-22,500,000","-30,000,000","-30,265,000","-8,844,000","0",,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"-10,000,000","-65,689,000","-56,089,000","0","-9,183,000","0","0",,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-6,889,000","-8,472,000","-3,534,000","-12,596,000","-1,691,000",,"-26,436,000","-228,000","-39,091,000","-13,409,000","-8,798,000","-4,538,000","-10,492,000","-3,352,000","-10,723,000","-9,379,000","-72,682,000","0","1,353,000","-92,426,000","-76,035,000","1,178,000","-49,950,000","531,000","-15,434,000"
	CashFromDiscontinuedFinancingActivities,,,,"0","0","0","0","-819,000","-1,293,000","-87,163,000","-24,917,000","107,297,000",,,,,,,,,,,,,
EndCashPosition,"30,876,000","30,444,000","11,989,000","39,091,000","135,520,000","99,790,000","98,265,000","206,030,000","29,827,000","40,371,000","51,773,000","50,076,000","92,513,000","149,424,000","214,922,000","95,506,000","82,634,000","89,928,000","58,341,000","66,044,000","47,691,000","42,103,000","24,320,000","7,753,000",
	ChangesInCash,"19,886,000","18,455,000","-27,102,000","-96,429,000","35,730,000","1,525,000","-107,765,000","176,203,000","-10,544,000","-11,402,000","1,697,000","-42,437,000","-56,911,000","-65,498,000","119,416,000","12,872,000","-7,294,000","31,587,000","-7,703,000","18,353,000","5,588,000","17,783,000","16,567,000","7,752,000",
	BeginningCashPosition,"10,990,000","11,989,000","39,091,000","135,520,000","99,790,000","98,265,000","206,030,000","29,827,000","40,371,000","51,773,000","50,076,000","92,513,000","149,424,000","214,922,000","95,506,000","82,634,000","89,928,000","58,341,000","66,044,000","47,691,000","42,103,000","24,320,000","7,753,000","1,000",
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,"0",,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"14,980,000","15,452,000","13,856,000","25,265,000","37,378,000","39,830,000","58,597,000","64,991,000","72,850,000","84,380,000","88,493,000","75,833,000","55,191,000","53,842,000","47,653,000","41,565,000","34,710,000","27,735,000","25,771,000",,,,,,
CapitalExpenditure,,,"-10,000","-118,000",,,"-22,000",,"-7,301,000","-28,000","-10,007,000","-7,489,000","-72,000,000","-181,215,000","-120,688,000","-172,376,000","-119,911,000","-16,068,000","-74,819,000","-264,765,000","-105,702,000","-77,733,000","-142,541,000","-57,449,000",
IssuanceOfCapitalStock,,,,,,,"0","0","242,100,000","0",,"127,202,000","75,000,000","0","0","110,436,000","0",,,,,"200,355,000",,"46,963,000",
IssuanceOfDebt,"112,193,000","167,850,000","248,834,000","70,000,000","0","0","300,000,000","35,000,000","180,688,000","20,000,000","100,000,000","518,375,000","567,020,000","148,000,000","385,000,000","140,000,000","331,000,000","0","285,400,000",,,,,,
RepaymentOfDebt,"-162,332,000","-181,028,000","-262,396,000","-339,396,000","-39,396,000","-46,176,000","-463,082,000","-175,706,000","-492,319,000","-183,141,000","-165,983,000","-318,983,000","-386,230,000","-30,800,000","-210,519,000","-106,234,000","-168,235,000","-17,234,000","-235,942,000",,,,,,
RepurchaseOfCapitalStock,,"-71,666,000","-178,334,000","-19,321,000","0","-3,863,000","0","-8,844,000","0","0",,,,,,,,,,,,"-100,121,000",,,
FreeCashFlow,"211,418,000","248,493,000","310,968,000","266,720,000","121,804,000","89,274,000","137,289,000","188,923,000","127,139,000","107,933,000","193,417,000","203,266,000","175,074,000","90,193,000","184,886,000","86,318,000","90,758,000","213,888,000","93,334,000","-125,922,000","15,973,000","13,114,000","-78,013,000","-50,711,000","13,056,000"